 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
37 8.36854 6.71337 5.81038 6.09632 7.51448 5.90617 6.36036 6.14501 8.59821 4.9917 7.88106 5.37889 7.81193 6.9834 7.43357 7.30321 8.86877
38 8.57606 6.80584 5.91922 6.19382 7.65521 6.01922 6.47927 6.27483 8.85899 5.09866 8.00659 5.46336 7.89392 7.16847 7.5586 7.41249 8.94942
39 8.81401 6.88389 6.00534 6.27252 7.7362 6.10487 6.63439 6.37763 9.12094 5.2109 8.21683 5.54992 7.96325 7.33845 7.68144 7.57456 9.07578
40 8.99981 6.98159 6.13197 6.36062 7.81081 6.18846 6.79923 6.43817 9.45449 5.28049 8.43082 5.73756 8.11817 7.4908 7.80446 7.75036 9.16819
41 9.08813 7.08788 6.22588 6.45862 7.90623 6.30099 6.88693 6.49621 9.7665 5.34149 8.59641 5.93796 8.26457 7.62643 7.9284 7.88137 9.27886
42 9.22204 7.19049 6.33617 6.58763 7.97982 6.39992 6.95931 6.56119 10.0524 5.40436 8.74705 6.13793 8.35721 7.7594 8.0497 7.97149 9.39372
43 9.34721 7.26748 6.40853 6.66392 8.04376 6.4961 7.14802 6.63354 10.2362 5.50589 8.86054 6.29108 8.46516 7.87145 8.15367 8.11886 9.50833
44 9.4402 7.35293 6.51584 6.77874 8.10445 6.59489 7.31333 6.72546 10.3886 5.60617 8.93161 6.39202 8.59468 7.97722 8.29345 8.30298 9.60263
45 9.51429 7.42524 6.63051 6.91641 8.16342 6.6978 7.42233 6.78453 10.485 5.69052 9.01357 6.47903 8.66317 8.07725 8.4504 8.44769 9.70039
46 9.65999 7.51137 6.74245 7.00602 8.21781 6.79407 7.53982 6.85431 10.58 5.75646 9.10359 6.53976 8.73904 8.18093 8.57456 8.57673 9.7811
47 9.83908 7.60717 6.85757 7.07896 8.30555 6.87181 7.64367 6.99178 10.6958 5.86424 9.20869 6.58726 8.80394 8.3011 8.65257 8.6749 9.85809
48 9.98983 7.6913 6.95888 7.12834 8.42183 6.92961 7.75648 7.1328 10.8183 5.9243 9.32317 6.67044 8.87769 8.43265 8.74893 8.80132 9.93483
49 10.0863 7.78104 7.04938 7.19948 8.5027 6.99752 7.85295 7.26669 10.9374 6.02588 9.45973 6.85222 8.95726 8.58257 8.93531 8.90233 10.024
50 10.1412 7.85999 7.125 7.27101 8.54479 7.09442 7.8963 7.3967 11.0479 6.10281 9.50723 7.04319 9.03395 8.71661 9.02213 9.05915 10.1433
51 10.2432 7.97215 7.17488 7.33978 8.6323 7.19598 7.94073 7.48182 11.1448 6.18691 9.59402 7.20007 9.10337 8.81447 9.13861 9.20363 10.2514
52 10.3672 8.06822 7.23531 7.41914 8.72329 7.28744 8.0134 7.5729 11.1834 6.27706 9.68305 7.40438 9.1887 8.90863 9.2432 9.357 10.3506
53 10.4954 8.16833 7.30193 7.49758 8.79411 7.35184 8.0989 7.67249 11.2555 6.39071 9.83181 7.61423 9.26571 9.01287 9.34489 9.53314 10.4301
54 10.6659 8.25696 7.42401 7.58844 8.82871 7.39538 8.15507 7.74 11.3492 6.53289 10.0151 7.84863 9.34246 9.13075 9.42536 9.70894 10.5239
55 10.8239 8.31 7.56037 7.68583 8.85089 7.45665 8.21766 7.82354 11.4261 6.69092 10.2153 8.02845 9.38506 9.2519 9.52122 9.85504 10.6189
56 10.9706 8.36569 7.64911 7.78978 8.88239 7.54561 8.28271 7.92544 11.4941 6.80702 10.4318 8.19127 9.41311 9.39008 9.65375 10.0184 10.701
57 11.115 8.41272 7.7441 7.85908 8.92082 7.62837 8.34036 7.99533 11.5899 6.91861 10.5997 8.31593 9.4647 9.49345 9.71904 10.1391 10.775
58 11.2337 8.47167 7.83084 7.90764 8.9638 7.70191 8.41954 8.06059 11.6638 7.00418 10.744 8.42953 9.50724 9.62321 9.84185 10.2034 10.8781
59 11.3209 8.53314 7.91236 7.96113 9.01239 7.77677 8.48875 8.14504 11.7468 7.09932 10.8544 8.53712 9.58759 9.75769 9.88736 10.2917 10.9567
60 11.3885 8.59165 7.99561 8.0222 9.0623 7.84832 8.60053 8.26972 11.8593 7.21082 10.9251 8.64282 9.64613 9.85892 9.95052 10.404 11.0595
61 11.4477 8.64805 8.09985 8.09545 9.11607 7.92552 8.73873 8.34096 11.9562 7.35932 10.9942 8.7529 9.69583 9.98364 10.0409 10.5164 11.1709
62 11.4899 8.70292 8.16632 8.16199 9.1561 8.01334 8.84995 8.39679 12.079 7.44961 11.0821 8.82669 9.7769 10.0889 10.1477 10.6484 11.2331
63 11.5372 8.75747 8.23961 8.24085 9.19698 8.09201 8.95879 8.46795 12.1528 7.5596 11.1629 8.92013 9.87957 10.1797 10.259 10.7619 11.3022
64 11.6073 8.8112 8.33832 8.28721 9.23487 8.1864 9.12572 8.5079 12.222 7.68278 11.2305 8.99975 9.9749 10.2589 10.3801 10.8011 11.3655
65 11.6859 8.87227 8.40784 8.33138 9.29772 8.24376 9.27673 8.52973 12.3237 7.77137 11.2985 9.06434 10.0651 10.3311 10.5083 10.8843 11.4399
66 11.7467 8.9301 8.46358 8.39169 9.35919 8.3015 9.43619 8.56767 12.402 7.86275 11.3706 9.16479 10.1894 10.4185 10.6449 11.0453 11.5651
67 11.8231 8.98615 8.51468 8.44825 9.42785 8.3512 9.55372 8.64372 12.4756 7.92625 11.492 9.26371 10.3188 10.5136 10.7489 11.2212 11.6735
68 11.9088 9.03813 8.57719 8.47913 9.53646 8.40062 9.64468 8.70409 12.5588 7.97487 11.6118 9.35263 10.4306 10.575 10.8586 11.3365 11.7438
69 11.9843 9.0601 8.64228 8.53133 9.62236 8.44675 9.71578 8.73997 12.6458 8.03581 11.7507 9.44154 10.5198 10.6457 10.9401 11.4121 11.8005
70 12.0626 9.08709 8.71575 8.56538 9.69086 8.48702 9.77431 8.78331 12.7165 8.10808 11.8391 9.51765 10.5823 10.6918 11.0076 11.5301 11.8659
71 12.095 9.12668 8.75504 8.5964 9.79893 8.52111 9.83385 8.81489 12.7917 8.22761 11.9203 9.55981 10.6455 10.7254 11.0676 11.6139 11.9222
72 12.1122 9.16859 8.8226 8.64377 9.9051 8.55673 9.8681 8.84536 12.8477 8.30915 11.9809 9.60018 10.6958 10.7671 11.1178 11.6671 11.9761
73 12.1415 9.21469 8.87599 8.68236 10.0087 8.59342 9.88332 8.88638 12.8918 8.39085 12.0287 9.65818 10.7383 10.804 11.19 11.7089 12.0384
74 12.201 9.25981 8.92802 8.72396 10.0791 8.63184 9.95016 8.93456 12.941 8.45897 12.0861 9.71248 10.7794 10.8342 11.2683 11.7799 12.1021
75 12.2712 9.30511 9.00018 8.7752 10.1596 8.68378 10.0323 8.97848 12.9924 8.484 12.1247 9.77067 10.8211 10.8965 11.3277 11.8351 12.1788
76 12.3379 9.3461 9.07785 8.87342 10.2251 8.75078 10.1183 9.00817 13.0468 8.52912 12.1606 9.82577 10.9053 10.9323 11.3799 11.8724 12.268
77 12.4521 9.3763 9.16426 8.95027 10.2663 8.84076 10.2279 9.03621 13.0957 8.5626 12.2078 9.85957 11.0116 10.9948 11.4081 11.9418 12.3434
78 12.6229 9.41187 9.19676 8.98728 10.3091 8.90887 10.3174 9.0603 13.1529 8.59413 12.2459 9.89709 11.1202 11.0551 11.4371 12.0076 12.4215
79 12.7425 9.46176 9.21528 9.03049 10.38 8.96543 10.4015 9.09211 13.2415 8.6316 12.2844 9.94816 11.2565 11.1173 11.4909 12.041 12.5021
80 12.8443 9.49475 9.25394 9.06533 10.453 9.01906 10.4733 9.13541 13.3619 8.65715 12.3111 9.99729 11.3268 11.1397 11.5729 12.0952 12.5698
81 12.9592 9.53803 9.28606 9.10383 10.4806 9.0896 10.5527 9.18465 13.4605 8.72951 12.3426 10.0503 11.3928 11.1744 11.6517 12.1339 12.6242
82 13.0514 9.58271 9.323 9.15072 10.5003 9.14338 10.6424 9.21976 13.5451 8.79973 12.3854 10.1013 11.4462 11.2915 11.7442 12.1771 12.6928
83 13.1442 9.60402 9.40611 9.20202 10.5618 9.1638 10.697 9.25928 13.6074 8.86459 12.4212 10.1708 11.513 11.3927 11.7834 12.2294 12.7841
84 13.2533 9.63419 9.49905 9.24261 10.6247 9.17984 10.7619 9.29338 13.6489 8.90998 12.4539 10.2506 11.5882 11.5065 11.8271 12.2878 12.8733
85 13.3499 9.65854 9.56798 9.26573 10.6767 9.20514 10.8277 9.32673 13.6908 8.93462 12.4768 10.2953 11.6577 11.6366 11.8601 12.3434 12.9296
86 13.4596 9.68552 9.5833 9.29468 10.714 9.2382 10.9015 9.3646 13.716 8.95441 12.5103 10.3298 11.7007 11.765 11.9215 12.3847 12.9992
87 13.5346 9.74047 9.61907 9.33308 10.7362 9.26476 10.9749 9.42635 13.7307 8.98616 12.5573 10.3618 11.7311 11.8747 11.9809 12.4703 13.0411
88 13.6078 9.779 9.64574 9.36526 10.7776 9.30903 11.0158 9.48601 13.7461 9.02987 12.6073 10.3897 11.7968 11.9735 12.0333 12.591 13.0886
89 13.662 9.81767 9.66686 9.37251 10.8864 9.34701 11.0434 9.55131 13.7653 9.06396 12.662 10.4154 11.8589 12.0445 12.1022 12.7284 13.1615
90 13.7177 9.83934 9.68445 9.41718 11.0336 9.37189 11.0858 9.61327 13.7839 9.11631 12.718 10.4586 11.9088 12.0946 12.1746 12.8758 13.2645
